Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
96884,The Happiness Hypothesis: Finding Modern Truth in Ancient Wisdom,Jonathan Haidt,"Haidt, Jonathan",,"=""0465028020""","=""9780465028023""",0,4.09,Basic Books,Paperback,297,2006,2006,,2012/04/08,,,read,,,,1,0
9452338,This is a Book,Demetri Martin,"Martin, Demetri",,"=""0446539708""","=""9780446539708""",0,3.74,Grand Central Publishing,Hardcover,269,2011,2011,2012/03/28,2011/05/24,,,read,,,,1,0
10788688,"Cool, Calm & Contentious",Merrill Markoe,"Markoe, Merrill",,"=""0345518918""","=""9780345518910""",0,3.26,Villard,Hardcover,288,2011,2011,2012/03/28,2011/12/01,,,read,,,,1,0
13496,"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,"Martin, George R.R.",,"=""0553588486""","=""9780553588484""",5,4.45,Bantam,Mass Market Paperback,835,2005,1996,2011/12/01,2011/10/09,,,read,,,,1,0
375802,"Ender’s Game (Ender's Saga, #1)",Orson Scott Card,"Card, Orson Scott",,"=""0812550706""","=""9780812550702""",5,4.31,Tor,Mass Market Paperback,324,2004,1985,2012/01/18,2011/12/30,,,read,,,,1,0
194479,Crisis on Infinite Earths,Marv Wolfman,"Wolfman, Marv",George Pérez,"=""1563897504""","=""9781563897504""",0,4.01,DC Comics,Paperback,364,2001,1985,2011/12/01,2011/09/25,,,read,,,,1,0
416482,"The Dark Fields (Limitless, #1)",Alan Glynn,"Glynn, Alan",,"=""1582342733""","=""9781582342733""",0,3.83,Bloomsbury USA,Paperback,342,2003,2001,,2011/04/01,to-read,to-read (#22),to-read,,,,0,0
3431,The Five People You Meet in Heaven,Mitch Albom,"Albom, Mitch",,"=""0786868716""","=""9780786868711""",0,4.01,Hyperion,Hardcover,196,2003,2003,,2011/04/01,to-read,to-read (#21),to-read,,,,0,0
6288,The Road,Cormac McCarthy,"McCarthy, Cormac",,"=""0307265439""","=""9780307265432""",4,4.00,Alfred A. Knopf,Hardcover,241,2006,2006,,2011/10/09,,,read,,,,1,0
604635,Naïve. Super,Erlend Loe,"Loe, Erlend",Tor Ketil Solberg,"=""1841956724""","=""9781841956725""",0,3.86,Canongate UK,Paperback,208,2005,1996,2011/08/01,2011/07/05,,,read,,,,1,0
12617,Manufacturing Consent: The Political Economy of the Mass Media,Edward S. Herman,"Herman, Edward S.",Noam Chomsky,"=""0375714499""","=""9780375714498""",0,4.23,Pantheon Books,Paperback,412,2002,1988,,2011/07/27,to-read,to-read (#20),to-read,,,,0,0
7334201,Super Sad True Love Story,Gary Shteyngart,"Shteyngart, Gary",,"=""1400066409""","=""9781400066407""",5,3.45,Random House Publishing Group,Hardcover,331,2010,2010,2011/07/05,2010/12/30,,,read,May be the best book I've ever read.,,,1,0
9378733,The Psychopath Test: A Journey Through the Madness Industry,Jon Ronson,"Ronson, Jon",,"=""1594488010""","=""9781594488016""",0,3.95,Riverhead Books,Hardcover,288,2011,2011,,2011/05/17,to-read,to-read (#19),to-read,,,,0,0
